N_Chargers,Strategy,served_barrios_count,ev_population_served,unmet_demand_captured,coverage_efficiency,baseline_iterations,ev_population_served_p05,ev_population_served_p50,ev_population_served_p95,unmet_demand_captured_p05,unmet_demand_captured_p50,unmet_demand_captured_p95,coverage_efficiency_p05,coverage_efficiency_p50,coverage_efficiency_p95,ev_win_rate_vs_baseline,unmet_win_rate_vs_baseline,eff_win_rate_vs_baseline,baseline_ev_mean,baseline_ev_p05,baseline_ev_p50,baseline_ev_p95,Scenario_ID
10,Baseline,23.576666666666668,4465.5516933843355,95.84396870617137,0.05921696981016225,300,3195.092843271395,4447.238133058747,5578.326906568025,69.39305117694428,94.7869170807077,120.41545116245547,0.042369617335517765,0.05897411660335164,0.07397330468860926,,,,,,,,Baseline_10
10,Smart,32.0,4991.346858766174,118.28633615172,0.06618945575873457,300,,,,,,,,,,0.76,0.9366666666666666,0.76,4465.5516933843355,3195.092843271395,4447.238133058747,5578.326906568025,Smart_10
25,Baseline,43.92333333333333,9187.245127142216,199.76372413343367,0.12183059444559365,300,7685.6959889710215,9227.5558989423,10704.281913313718,167.59656984243063,200.1290238138122,229.9132580132033,0.10191879046507123,0.12236514917043231,0.14194777765964353,,,,,,,,Baseline_25
25,Smart,56.0,13399.711479267211,311.260462782281,0.17769143985236985,300,,,,,,,,,,1.0,1.0,1.0,9187.245127142216,7685.6959889710215,9227.5558989423,10704.281913313718,Smart_25
50,Baseline,58.74666666666667,14245.151586502585,311.2785210125589,0.18890268646734631,300,12772.27302744546,14260.966023031757,15733.495309195396,275.1807858206671,311.9922334255355,345.8458467016351,0.16937107847030183,0.18911239919150985,0.20863937553633996,,,,,,,,Baseline_50
50,Smart,70.0,22575.682952871957,536.5288630943515,0.2993725361738756,300,,,,,,,,,,1.0,1.0,1.0,14245.151586502585,12772.27302744546,14260.966023031757,15733.495309195396,Smart_50
