Scenario_ID,Type,N_Chargers,Lat,Lng,Hub_ID
Baseline_10,Baseline,10,41.418605618135864,2.1764110685801237,1
Baseline_10,Baseline,10,41.40125939148578,2.166931781833417,2
Baseline_10,Baseline,10,41.41417450640961,2.14633622449176,3
Baseline_10,Baseline,10,41.37846828032037,2.165924044879915,4
Baseline_10,Baseline,10,41.39826992561356,2.1578247570845983,5
Baseline_10,Baseline,10,41.40778286491313,2.1933236312190885,6
Baseline_10,Baseline,10,41.409631513662234,2.1217619724276267,7
Baseline_10,Baseline,10,41.38035439756808,2.1798312055055513,8
Baseline_10,Baseline,10,41.34665107459084,2.154847608514973,9
Baseline_10,Baseline,10,41.4143875933656,2.209942881688354,10
Smart_10,Smart,10,41.39765017562235,2.1622334484198285,1
Smart_10,Smart,10,41.436506453790564,2.1825967338494565,2
Smart_10,Smart,10,41.42641300146461,2.1467060407168286,3
Smart_10,Smart,10,41.37498544832805,2.1432924005434706,4
Smart_10,Smart,10,41.41012457207692,2.202768192441942,5
Smart_10,Smart,10,41.4138624833491,2.1737654622275295,6
Smart_10,Smart,10,41.39840412681921,2.1048322903830634,7
Smart_10,Smart,10,41.39740497960805,2.136913559425793,8
Smart_10,Smart,10,41.339081393177395,2.141843723544872,9
Smart_10,Smart,10,41.38942928833892,2.188076010655102,10
Baseline_25,Baseline,25,41.4085158946949,2.105188029709946,1
Baseline_25,Baseline,25,41.40129243256745,2.1705733088999852,2
Baseline_25,Baseline,25,41.41050718391848,2.145699979903636,3
Baseline_25,Baseline,25,41.373767884614736,2.126198955063111,4
Baseline_25,Baseline,25,41.408110473014986,2.168762720929363,5
Baseline_25,Baseline,25,41.41041656272269,2.122996176637193,6
Baseline_25,Baseline,25,41.37894629578536,2.1350255926529487,7
Baseline_25,Baseline,25,41.385850519662306,2.1348269536182034,8
Baseline_25,Baseline,25,41.40578801685537,2.174001495240244,9
Baseline_25,Baseline,25,41.391038635431634,2.1934798376149316,10
Baseline_25,Baseline,25,41.367960087491554,2.166525296707326,11
Baseline_25,Baseline,25,41.38046922803731,2.1702610556410655,12
Baseline_25,Baseline,25,41.42848078994705,2.1938769522448274,13
Baseline_25,Baseline,25,41.41781660170992,2.1878351037414028,14
Baseline_25,Baseline,25,41.41471133617069,2.2071821401271996,15
Baseline_25,Baseline,25,41.43039761769883,2.170054259985022,16
Baseline_25,Baseline,25,41.38618466393278,2.138130190651259,17
Baseline_25,Baseline,25,41.38349999022105,2.1232943172199916,18
Baseline_25,Baseline,25,41.374570665979924,2.169933442227441,19
Baseline_25,Baseline,25,41.39205161741766,2.1329285234445146,20
Baseline_25,Baseline,25,41.43671849150701,2.1809003915009875,21
Baseline_25,Baseline,25,41.37213843235993,2.140249939665139,22
Baseline_25,Baseline,25,41.3761806668489,2.1278053382819757,23
Baseline_25,Baseline,25,41.42674758278785,2.1610185927499934,24
Baseline_25,Baseline,25,41.38892037480619,2.143847706473671,25
Smart_25,Smart,25,41.39998643622865,2.202394549588548,1
Smart_25,Smart,25,41.386924346275514,2.134687322088174,2
Smart_25,Smart,25,41.40635499861115,2.1623782524556305,3
Smart_25,Smart,25,41.44265563759474,2.175148996012807,4
Smart_25,Smart,25,41.41984961347176,2.141687630522144,5
Smart_25,Smart,25,41.41949568361774,2.089460713709983,6
Smart_25,Smart,25,41.339081393177395,2.141843723544872,7
Smart_25,Smart,25,41.42258558067381,2.187011300642282,8
Smart_25,Smart,25,41.368068007116165,2.1433829617912363,9
Smart_25,Smart,25,41.384651619211965,2.184281003819076,10
Smart_25,Smart,25,41.387423522914915,2.1128349805800877,11
Smart_25,Smart,25,41.42116300175081,2.157367395759167,12
Smart_25,Smart,25,41.393212240215064,2.168305989814669,13
Smart_25,Smart,25,41.39961574404367,2.1432176684181035,14
